COD_MUNICIPIO;PORCENTAGEM_POPULACAO_MASCULINA;PORCENTAGEM_POPULACAO_FEMININA;PORCENTAGEM_POPULACAO_MENOR_IDADE;PORCENTAGEM_POPULACAO_ADULTA;PORCENTAGEM_POPULACAO_IDOSA;RENDA_PER_CAPITA;PERCENT_AGUA_ENCANADA;IDHM;IDHM_E;IDHM_L;IDHM_R;TX_CASOS_CONFIRMADOS;TX_OBITO;TX_CURA;TX_LEITOS_TOTAL;TX_LEITOS_SUS;TX_LEITOS_NAO_SUS;TX_VACINA_TOTAL_DOSES_APLICADAS;TX_VACINA_DOSE_1;TX_VACINA_DOSE_2;TX_VACINA_DOSE_3;TX_VACINA_DOSE_REFORCO;TX_VACINA_DOSE_REFORCO_1;TX_VACINA_DOSE_REFORCO_2;TX_VACINA_DOSE_REFORCO_3;TX_VACINA_DOSE_ADICIONAL;TX_VACINA_DOSE_UNICA
110001;0,510881151;0,489118849;0,253553029;0,616672588;0,129774383;512,46;93,69;0,641;0,526;0,763;0,657;13,32385859;4,441286196;4,441286196;217,6230236;190,9753064;26,64771718;204072,6594;83496,18049;75799,43152;13,32385859;33598,33008;8,882572393;8918,102683;4,441286196;235,3881684;1998,578788
110002;0,499298233;0,500701767;0,274831756;0,62704682;0,098121424;698,01;98,54;0,702;0,6;0,806;0,716;60,27998704;38,68715586;15,29492209;230,3235326;125,0584806;105,265052;159223,7377;70032,74913;58382,517;9759,059992;8146,795264;71,07640263;6699,175874;241,1199482;5801,273977;89,97012992
110004;0,489654694;0,510345306;0,25030087;0,626041474;0,123657656;750,2;97,96;0,718;0,62;0,821;0,727;236,0673949;65,96000741;167,7930013;454,7768932;362,2014442;92,57544899;208106,1378;87725,65266;73160,06295;47,44491761;34928,7169;70,58877986;9278,374375;18,5150898;687,3727088;2189,409369
110005;0,492292392;0,507707608;0,241546494;0,626243163;0,132210343;581,57;97,53;0,692;0,602;0,799;0,688;24,86325211;0;18,64743909;248,6325211;248,6325211;0;208204,8732;81943,06315;73632,52113;68,37394331;37661,61114;31,07906514;12313,52561;31,07906514;180,2585778;2343,361512
110007;0,528502552;0,471497448;0,235961429;0,643647192;0,120391378;414,1;93,24;0,613;0,473;0,774;0,63;14,18037436;0;14,18037436;141,8037436;141,8037436;0;236741,35;90527,50993;80544,52638;155,984118;43193,42031;1644,923426;17356,77822;56,72149745;893,3635848;2368,122518
110009;0,500651338;0,499348662;0,274561483;0,611802842;0,113635675;606,09;93,7;0,672;0,536;0,819;0,691;51,50110576;15,14738405;18,17686086;163,5917477;109,0611651;54,53058257;178823,9571;74176,73968;65342,7853;15,14738405;9912,44812;3,029476809;2214,547548;33,3242449;25335,51456;1790,420794
110010;0,506413808;0,493586192;0,322054123;0,583869593;0,094076284;517,03;93,26;0,657;0,519;0,823;0,663;2,130833156;0;0;242,9149798;223,7374814;19,1774984;161721,7132;72032,81483;56756,87194;818,2399318;23307,05306;23,43916471;5120,392073;526,3157895;647,7732794;2488,813126
110011;0,48910995;0,51089005;0,264489304;0,616526453;0,118984243;579,75;97,09;0,689;0,577;0,825;0,687;126,2896112;23,31500515;102,9746061;223,435466;194,2917096;29,14375644;206965,3578;84130,25316;71746,09959;0;37171,88988;0;357,4967456;31,08667353;13509,10257;19,42917096
110012;0,491032314;0,508967686;0,263596538;0,620754659;0,115648803;747,05;97,81;0,714;0,617;0,81;0,728;33,5811213;16,79056065;7,632073024;238,8838856;136,6141071;102,2697785;185077,0076;76840,47441;65263,38284;65,635828;30719,09392;52,66130386;9234,045151;73,26790103;834,1855815;1994,260681
110013;0,517735596;0,482264404;0,307233247;0,597210239;0,095556514;434,33;92,56;0,596;0,446;0,755;0,629;4,793404276;4,793404276;0;115,0417026;115,0417026;0;134541,2712;57218,86684;49046,11255;83,88457483;19909,40466;385,8690442;5809,605982;9,586808551;38,34723421;2039,593519
